"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"路","lù","","2","road","journey, route, line (bus etc), sort, kind, surname Lu, CL:條|条[tiao2]","","","ㄌㄨˋ"
"手","shǒu","","2","hand","(formal) to hold, person engaged in certain types of work, person skilled in certain types of work, personal(ly), convenient, classifier for skill, CL:雙|双[shuang1],隻|只[zhi1]","手機","shǒujī","ㄕㄡˇㄐㄧ"
"機","jī","","2","machine","engine, opportunity, intention, aircraft, pivot, crucial point, flexible (quick-witted), organic, surname Ji, CL:臺|台[tai2]","手機","shǒujī","ㄕㄡˇㄐㄧ"
"手機","shǒujī","","2","cell phone","mobile phone, CL:部[bu4],支[zhi1]","","","ㄕㄡˇㄐㄧ"
"號","hào","","2","roar","cry, ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people, CL:個|个[ge4]","號碼","hàomǎ","ㄏㄠˋ　ㄇㄚˇ"
"碼","mǎ","","2","weight","number, code, to pile, to stack, classifier for length or distance (yard), happenings etc","號碼","hàomǎ","ㄏㄠˋ　ㄇㄚˇ"
"號碼","hàomǎ","","2","number","CL:堆[dui1],個|个[ge4]","","","ㄏㄠˋ　ㄇㄚˇ"
"明","míng","","2","Ming Dynasty (1368-1644)","Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, bright, opposite: dark 暗[an4], (of meaning) clear, to understand, next, public or open, wise, generic term for a sacrifice to the gods, surname Ming","明年","míngnián","ㄇㄧㄥˊ　ㄋㄧㄢˊ"
"年","nián","","2","grain","harvest (old), variant of 年[nian2]","明年","míngnián","ㄇㄧㄥˊ　ㄋㄧㄢˊ"
"明年","míngnián","","2","next year","","","","ㄇㄧㄥˊ　ㄋㄧㄢˊ"
"去","qù","","2","to go","to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)","去年","qùnián","ㄑㄩˋ　ㄋㄧㄢˊ"
"去年","qùnián","","2","last year","","","","ㄑㄩˋ　ㄋㄧㄢˊ"
"日","rì","","2","sun","day, date, day of the month, abbr. for 日本[Ri4 ben3], Japan","生日","shēngrì","ㄕㄥ　ㄖˋ"
"生日","shēngrì","","2","birthday","CL:個|个[ge4]","","","ㄕㄥ　ㄖˋ"
"月","yuè","","2","moon","month, monthly, CL:個|个[ge4],輪|轮[lun2]","","","ㄩㄝˋ"
"星","xīng","","2","star","heavenly body, satellite, small amount","星期","xīngqí","ㄒㄧㄥ　ㄑㄧˊ"
"期","qī","","2","period","cycle, a period of time, phase, stage, classifier for issues of a periodical, courses of study, time, term, period, to hope, Taiwan pr. [qi2], variant of 期[qi1]","星期","xīngqí","ㄒㄧㄥ　ㄑㄧˊ"
"星期","xīngqí","","2","week","day of the week, Sunday, CL:個|个[ge4]","","","ㄒㄧㄥ　ㄑㄧˊ"
"天","tiān","","2","day","sky, heaven","星期天","xīngqítiān","ㄒㄧㄥ　ㄑㄧˊ　ㄊㄧㄢ/ㄒㄧㄥ　ㄑㄧˊ　ㄖˋ"
"星期天","xīngqítiān","","2","Sunday","CL:個|个[ge4]","","","ㄒㄧㄥ　ㄑㄧˊ　ㄊㄧㄢ/ㄒㄧㄥ　ㄑㄧˊ　ㄖˋ"
"週","zhōu","","2","week","weekly, variant of 周[zhou1]","週末","zhōumò","ㄓㄡ　ㄇㄛˋ"
"末","mò","","2","tip","end, final stage, latter part, inessential detail, powder, dust, opera role of old man","週末","zhōumò","ㄓㄡ　ㄇㄛˋ"
"週末","zhōumò","","2","weekend","","","","ㄓㄡ　ㄇㄛˋ"
"從","cóng","","2","from","through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor, surname Cong","","","ㄘㄨㄥˊ"
"在","zài","","2","(located) at","(to be) in, to exist, in the middle of doing sth, (indicating an action in progress)","","","ㄗㄞˋ"
"笑","xiào","","2","laugh","smile, old variant of 笑[xiao4], CL:個|个[ge4]","","","ㄒㄧㄠˋ"
"愛","ài","","2","to love","to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)","","","ㄞˋ"
"好","hǎo","hào","2","good","well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to","好看","hǎokàn","ㄏㄠˇ　ㄎㄢˋ"
"看","kān","kàn","2","to look after","to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)","好看","hǎokàn","ㄏㄠˇ　ㄎㄢˋ"
"好看","hǎokàn","","2","good-looking","nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated","","","ㄏㄠˇ　ㄎㄢˋ"
"快","kuài","","2","rapid","quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant","快樂","kuàilè","ㄎㄨㄞˋ　ㄌㄜˋ"
"樂","lè","yuè","2","happy","cheerful, to laugh, music, surname Le, surname Yue","快樂","kuàilè","ㄎㄨㄞˋ　ㄌㄜˋ"
"快樂","kuàilè","","2","happy","merry","","","ㄎㄨㄞˋ　ㄌㄜˋ"
